track_id,class_id,track_length,first_frame,last_frame
1,2,676,0,675
2,2,784,0,783
3,2,68,0,67
5,2,904,0,911
6,2,698,0,757
7,2,27,0,32
8,2,338,0,440
9,2,398,0,540
10,5,418,0,460
13,2,122,0,351
14,2,45,0,53
15,2,246,3,272
18,2,19,9,45
19,5,3,13,15
20,2,33,13,45
21,7,21,26,46
22,2,271,59,340
27,2,7,67,73
28,2,10,69,80
31,5,6,83,88
35,2,31,87,123
40,2,86,103,189
41,2,3,109,111
42,2,803,109,911
43,2,335,117,543
46,2,85,133,317
47,2,211,141,361
50,7,4,170,173
52,7,18,171,192
53,2,31,192,226
54,7,1,195,195
58,7,7,201,207
61,2,7,211,217
62,2,2,211,212
63,7,4,217,220
65,2,23,223,245
66,2,344,237,617
68,2,645,251,911
69,2,645,253,911
71,2,80,264,343
72,2,2,276,277
74,2,2,283,284
75,7,1,291,291
79,2,5,297,301
83,7,1,305,305
87,7,1,310,310
89,2,10,319,342
93,2,155,337,680
97,2,78,366,461
99,2,115,437,574
100,2,414,439,911
103,2,18,453,470
105,7,9,457,465
106,7,2,469,470
111,2,15,516,540
113,2,383,529,911
114,2,6,536,541
115,2,1,545,545
118,2,124,559,710
119,7,2,567,568
121,2,66,576,641
123,2,22,600,881
125,2,333,579,911
126,7,1,592,592
127,2,1,595,595
128,7,9,605,613
129,2,166,611,780
131,7,291,618,911
132,2,1,625,625
136,2,86,648,733
140,2,162,670,832
141,2,9,673,683
142,2,21,675,695
143,2,3,689,691
146,2,34,703,739
147,2,198,709,911
148,2,4,714,717
150,2,14,735,751
151,2,14,738,751
152,5,3,745,747
155,7,7,749,755
156,2,2,753,754
157,2,110,756,865
158,7,3,757,759
159,2,7,759,765
160,2,2,765,766
161,2,76,772,848
162,2,1,768,768
164,2,5,772,776
166,2,137,775,911
167,2,2,780,781
169,7,81,783,875
171,2,18,786,811
172,7,13,787,832
173,2,119,789,907
174,2,2,805,806
181,2,20,834,853
182,2,54,840,904
183,2,63,849,911
184,2,60,852,911
189,2,36,874,911
190,2,20,892,911
