track_id,class_id,track_length,first_frame,last_frame
1,2,672,0,673
2,2,782,0,781
3,2,68,0,67
5,2,897,0,911
6,2,682,0,717
7,2,23,0,22
8,2,208,0,211
9,2,386,0,419
10,7,222,0,241
13,2,64,0,196
14,2,37,0,46
15,2,25,3,27
18,2,14,9,45
19,5,3,13,15
20,2,33,13,45
21,7,19,26,45
23,2,215,49,272
24,2,266,59,337
29,2,5,67,73
30,2,10,69,80
33,5,6,83,88
37,2,28,87,118
42,2,79,103,182
43,2,3,109,111
44,2,803,109,911
45,2,328,117,538
48,2,56,133,238
49,2,25,141,167
53,2,87,169,261
54,7,4,170,173
56,2,18,171,192
57,2,27,192,223
59,7,1,195,195
63,7,7,201,207
66,2,7,211,217
67,2,2,211,212
68,7,4,217,220
70,2,13,223,245
71,2,109,225,420
72,2,330,237,615
75,2,160,251,410
77,2,644,253,911
78,5,164,261,455
80,2,78,264,343
81,2,94,268,361
82,2,2,276,277
84,2,2,283,284
85,2,1,289,289
86,7,1,291,291
90,2,5,297,301
95,7,1,305,305
99,7,1,310,310
101,2,7,319,325
102,2,1,321,321
106,2,155,337,680
110,2,74,366,458
111,2,484,428,911
113,2,98,437,557
114,2,394,439,911
117,2,18,453,470
119,7,9,457,465
120,7,2,469,470
125,5,8,516,523
127,2,383,529,911
128,2,6,536,541
129,2,1,545,545
132,2,69,559,627
133,7,2,567,568
136,2,66,576,641
138,2,19,600,881
140,2,332,579,911
141,7,1,592,592
142,2,1,595,595
143,7,9,605,613
144,2,20,611,631
146,2,197,618,821
147,2,1,625,625
149,2,138,636,780
151,2,85,648,733
155,2,54,657,710
156,2,162,670,832
157,2,9,673,683
158,2,21,675,695
159,2,3,689,691
162,2,21,703,723
163,2,199,709,911
164,2,4,714,717
166,7,13,727,739
167,2,14,735,751
168,2,14,738,751
169,5,3,745,747
172,7,7,749,755
173,2,2,753,754
174,2,109,756,865
175,7,3,757,759
176,2,7,759,765
177,2,2,765,766
178,2,73,772,847
179,2,1,768,768
181,2,5,772,776
183,2,137,775,911
184,2,2,780,781
186,7,77,783,874
188,2,18,786,811
189,2,12,787,825
190,2,119,789,907
191,2,2,805,806
196,7,89,823,911
199,2,20,834,853
200,2,49,840,893
202,2,63,849,911
203,2,60,852,911
208,2,29,874,911
209,2,20,892,911
