track_id,class_id,track_length,first_frame,last_frame
1,2,676,0,675
2,2,784,0,783
3,2,68,0,67
5,2,899,0,911
6,2,686,0,755
7,2,24,0,29
8,2,325,0,420
9,2,394,0,425
10,5,392,0,455
13,2,66,0,243
14,2,244,3,272
15,2,33,3,53
18,5,1,15,15
20,7,4,42,45
21,2,268,59,337
24,2,10,69,80
26,2,14,72,88
29,2,240,87,361
31,2,3,109,111
32,2,800,111,911
33,2,332,117,538
35,2,64,123,189
36,2,52,133,238
38,7,4,170,173
39,7,18,171,192
40,2,673,192,911
44,7,7,201,207
45,2,7,211,217
46,2,2,211,212
47,7,3,218,220
50,2,336,237,615
51,2,3,243,245
52,2,80,264,343
53,2,2,276,277
54,2,2,283,284
55,2,609,288,911
56,7,1,291,291
57,2,5,297,301
58,7,1,305,305
59,7,1,310,310
61,2,138,341,487
63,2,74,366,458
66,2,108,438,574
67,2,6,460,465
68,2,11,460,470
69,7,2,469,470
72,2,8,517,529
73,2,383,529,911
74,2,6,536,541
75,2,314,537,911
76,2,1,545,545
79,7,2,567,568
80,2,116,567,710
82,2,66,576,641
83,2,332,579,911
84,2,4,600,603
85,7,1,592,592
86,2,1,595,595
88,2,159,611,780
91,2,1,625,625
92,7,282,627,911
94,2,86,648,733
96,2,162,670,832
97,2,9,673,683
98,2,21,675,695
99,2,3,689,691
101,2,21,703,723
102,2,198,709,911
103,7,2,716,717
104,7,13,727,739
105,2,12,737,751
106,2,14,738,751
107,2,13,832,881
108,7,7,749,755
109,2,2,753,754
110,2,109,756,865
111,7,3,757,759
113,7,3,763,765
114,2,2,765,766
115,2,1,768,768
116,2,137,772,911
117,2,5,772,776
118,2,133,779,911
119,2,2,780,781
120,7,72,783,874
121,2,119,789,907
122,7,11,789,832
123,2,2,805,806
126,2,20,834,853
127,2,48,840,892
128,2,60,852,911
130,2,31,874,911
131,2,19,893,911
