track_id,class_id,track_length,first_frame,last_frame
1,2,676,0,675
2,2,784,0,783
3,2,68,0,67
5,2,899,0,911
6,2,685,0,755
7,2,24,0,29
8,2,325,0,420
9,2,394,0,425
10,5,391,0,455
13,2,66,0,243
14,2,36,0,53
15,2,244,3,272
18,2,14,9,45
19,5,3,13,15
20,2,33,13,45
21,7,18,26,45
22,2,267,59,337
27,2,5,67,73
28,2,10,69,80
31,5,6,83,88
35,2,240,87,361
40,2,84,103,189
41,2,3,109,111
42,2,802,109,911
43,2,332,117,538
46,2,52,133,238
49,7,4,170,173
51,7,18,171,192
52,2,673,192,911
53,7,1,195,195
58,7,7,201,207
61,2,7,211,217
62,2,2,211,212
63,7,4,217,220
65,2,23,223,245
66,2,336,237,615
68,2,641,253,911
70,2,80,264,343
71,2,2,276,277
73,2,2,283,284
74,7,1,291,291
76,2,5,297,301
78,7,1,305,305
79,7,1,310,310
80,7,10,319,342
81,2,4,321,337
84,2,142,337,487
89,2,74,366,458
91,2,109,437,574
92,2,383,439,911
95,2,18,453,470
97,7,9,457,465
98,7,2,469,470
104,2,9,516,529
106,2,383,529,911
107,2,6,536,541
108,2,1,545,545
111,2,124,559,710
112,7,2,567,568
114,2,66,576,641
116,2,4,600,603
118,2,332,579,911
119,7,1,592,592
120,2,1,595,595
121,7,9,605,613
122,2,160,611,780
124,7,290,618,911
126,2,1,625,625
130,2,86,648,733
134,2,162,670,832
138,2,9,673,683
139,2,21,675,695
140,2,15,689,881
143,2,3,689,691
146,2,21,703,723
147,2,198,709,911
148,2,4,714,717
150,7,13,727,739
151,2,14,735,751
152,2,14,738,751
153,5,3,745,747
156,7,7,749,755
157,2,2,753,754
158,2,109,756,865
159,7,3,757,759
160,2,7,759,765
161,2,2,765,766
162,2,75,772,847
163,2,1,768,768
165,2,5,772,776
167,2,137,775,911
168,2,2,780,781
170,7,72,783,874
172,2,16,786,807
173,7,13,787,832
174,2,119,789,907
175,2,2,805,806
182,2,20,834,853
183,2,48,840,892
184,2,63,849,911
185,2,60,852,911
190,2,31,874,911
191,2,20,892,911
