track_id,class_id,track_length,first_frame,last_frame
1,2,676,0,675
2,2,784,0,783
3,2,68,0,67
5,2,904,0,911
6,2,699,0,757
7,2,27,0,32
8,2,338,0,440
9,2,394,0,426
10,5,419,0,460
13,2,122,0,351
14,2,246,3,272
15,2,42,3,53
18,5,1,15,15
20,7,5,42,46
21,2,272,59,340
24,2,10,69,80
26,2,14,72,88
29,2,31,87,123
31,2,3,109,111
32,2,801,111,911
33,2,335,117,543
35,2,66,123,189
36,2,76,133,257
37,2,209,143,361
39,7,4,170,173
40,7,18,171,192
41,2,31,192,226
45,7,7,201,207
46,2,7,211,217
47,2,2,211,212
48,7,3,218,220
51,2,344,237,617
52,2,3,243,245
53,2,645,251,911
54,2,80,264,343
55,2,2,276,277
56,2,2,283,284
57,2,610,288,911
58,7,1,291,291
59,2,5,297,301
60,7,1,305,305
61,7,1,310,310
63,2,141,341,487
64,2,78,366,461
66,2,114,438,574
67,2,6,460,465
68,2,11,460,470
69,7,2,469,470
72,2,14,517,540
73,2,383,529,911
74,2,6,536,541
75,2,333,537,911
76,2,1,545,545
79,7,2,567,568
80,2,116,567,710
82,2,66,576,641
83,2,333,579,911
84,2,22,600,881
85,7,1,592,592
86,2,1,595,595
88,2,165,611,780
91,2,1,625,625
92,7,283,627,911
94,2,86,648,733
96,2,162,670,832
97,2,9,673,683
98,2,21,675,695
99,2,3,689,691
101,2,34,703,739
102,2,198,709,911
103,7,2,716,717
104,2,12,737,751
105,2,14,738,751
106,7,7,749,755
107,2,2,753,754
108,2,110,756,865
109,7,3,757,759
111,7,3,763,765
112,2,2,765,766
113,2,1,768,768
114,2,76,772,848
115,2,5,772,776
116,2,133,779,911
117,2,2,780,781
118,7,81,783,875
119,2,119,789,907
120,7,11,789,832
121,2,2,805,806
124,2,20,834,853
125,2,54,840,904
126,2,61,851,911
127,2,60,852,911
129,2,36,874,911
130,2,19,893,911
