track_id,class_id,track_length,first_frame,last_frame
1,2,566,0,565
2,2,782,0,781
3,2,68,0,67
5,2,889,0,911
6,2,657,0,710
7,2,23,0,22
8,2,203,0,212
9,2,242,0,243
10,7,198,0,241
13,2,48,0,104
14,2,11,0,10
15,2,18,3,23
18,2,6,9,45
19,5,3,13,15
20,2,33,13,45
21,7,16,26,43
23,2,6,39,46
25,2,212,49,272
26,2,36,59,96
31,5,1,67,67
32,2,8,69,76
34,5,2,72,73
37,2,95,83,188
41,2,24,87,115
45,7,2,97,98
46,2,6,103,109
47,2,3,109,111
48,2,783,109,911
49,2,53,115,178
50,2,313,117,471
53,2,15,133,152
54,2,15,141,155
55,2,10,175,196
57,2,2,157,158
60,2,84,164,261
62,7,4,170,173
64,2,296,171,487
69,2,21,192,223
70,7,1,192,192
71,7,1,195,195
76,7,7,201,207
80,2,7,211,217
81,2,2,211,212
82,7,4,217,220
84,2,8,223,235
85,2,2,225,226
87,2,305,237,603
90,2,1,243,243
93,2,95,248,380
94,2,635,251,911
96,2,12,253,272
97,7,132,261,426
99,2,23,264,286
101,2,15,266,280
102,2,93,268,361
105,2,2,276,277
108,2,2,283,284
109,2,25,283,310
111,2,598,288,911
113,2,55,289,343
114,7,1,291,291
116,2,5,297,301
118,7,1,305,305
119,7,1,310,310
120,2,7,319,325
121,2,18,321,343
122,2,1,321,321
128,2,3,351,357
131,2,68,366,458
133,2,19,392,419
134,2,4,413,419
136,2,91,437,553
137,2,26,439,464
142,2,15,453,467
144,7,9,457,465
145,7,2,469,470
148,2,2,489,490
154,2,1,514,514
156,5,4,516,521
161,2,383,529,911
162,2,288,534,910
163,2,6,536,541
164,2,1,545,545
168,2,65,559,627
169,7,2,567,568
170,2,105,569,673
173,2,66,576,641
175,2,2,602,603
177,2,327,579,911
179,7,1,592,592
180,2,1,595,595
181,2,6,597,608
182,7,9,605,613
184,2,17,611,627
186,7,191,618,874
188,2,1,625,625
191,2,143,636,780
193,2,84,648,733
197,2,51,657,707
198,2,157,670,827
202,2,9,673,683
203,2,21,675,695
204,2,4,832,881
207,2,3,689,691
209,5,9,693,707
211,2,21,703,723
212,2,197,709,911
213,2,4,714,717
215,7,3,727,729
217,7,1,733,733
218,2,12,735,749
219,2,14,738,751
221,5,3,745,747
224,7,6,749,754
225,2,2,753,754
226,2,109,756,865
227,7,3,757,759
228,2,7,759,765
229,7,144,762,911
230,2,2,765,766
231,2,68,772,841
232,2,1,768,768
233,2,5,772,776
235,2,137,775,911
236,2,2,780,781
239,2,15,786,800
240,2,12,787,825
241,2,119,789,907
242,2,2,805,806
246,2,1,821,821
250,2,2,831,832
252,2,20,834,853
253,2,40,840,892
255,2,1,847,847
256,2,63,849,911
257,2,60,852,911
262,2,15,874,889
263,2,20,892,911
