track_id,class_id,track_length,first_frame,last_frame
1,2,672,0,673
2,2,782,0,781
3,2,68,0,67
5,2,897,0,911
6,2,682,0,717
7,2,23,0,22
8,2,208,0,211
9,2,386,0,419
10,7,223,0,241
13,2,64,0,196
14,2,239,3,272
15,2,34,3,46
18,5,1,15,15
20,7,4,42,45
21,2,265,59,337
24,2,10,69,80
26,5,2,72,73
27,5,13,83,98
30,2,28,87,118
31,2,3,109,111
32,2,801,111,911
33,2,328,117,538
35,2,60,123,182
36,2,56,133,238
37,2,23,143,167
40,7,4,170,173
41,2,85,171,261
42,2,18,171,192
43,2,27,192,223
48,7,7,201,207
49,2,7,211,217
50,2,2,211,212
51,7,3,218,220
52,2,109,225,420
55,2,330,237,615
56,2,2,243,245
57,2,160,251,410
59,5,164,261,455
60,2,78,264,343
61,2,94,268,361
62,2,2,276,277
63,2,2,283,284
64,2,609,288,911
65,2,1,289,289
66,7,1,291,291
67,2,5,297,301
68,7,1,305,305
69,7,1,310,310
71,2,141,341,487
72,2,74,366,458
74,2,484,428,911
75,2,97,438,557
76,2,6,460,465
77,2,11,460,470
78,7,2,469,470
81,5,7,517,523
82,2,383,529,911
83,2,6,536,541
84,2,326,537,911
85,2,1,545,545
88,7,2,567,568
89,2,61,567,627
91,2,66,576,641
92,2,332,579,911
93,2,5,600,604
94,7,1,592,592
95,2,1,595,595
97,2,20,611,631
100,2,1,625,625
101,7,276,627,911
102,2,137,636,780
103,2,85,648,733
105,2,54,657,710
106,2,162,670,832
107,2,9,673,683
108,2,21,675,695
110,2,3,689,691
112,2,21,703,723
113,2,199,709,911
114,7,2,716,717
115,7,13,727,739
116,2,12,737,751
117,2,14,738,751
118,2,13,832,881
119,7,7,749,755
120,2,2,753,754
121,2,109,756,865
122,7,3,757,759
124,7,3,763,765
125,2,2,765,766
126,2,1,768,768
127,2,73,772,847
128,2,5,772,776
129,2,133,779,911
130,2,2,780,781
131,7,77,783,874
132,2,119,789,907
133,2,10,789,825
134,2,2,805,806
137,2,20,834,853
138,2,49,840,893
139,2,61,851,911
140,2,60,852,911
142,2,29,874,911
143,2,19,893,911
