track_id,class_id,track_length,first_frame,last_frame
1,2,672,0,673
2,2,782,0,781
3,2,68,0,67
5,2,897,0,911
6,2,681,0,717
7,2,23,0,22
8,2,208,0,211
9,2,386,0,419
10,7,217,0,241
13,2,64,0,196
14,2,35,0,46
15,2,24,3,27
18,2,14,9,45
19,5,3,13,15
20,2,33,13,45
21,7,18,26,45
23,2,215,49,272
24,2,266,59,337
29,2,5,67,73
30,2,10,69,80
33,5,6,83,88
37,2,26,87,118
42,2,77,103,182
43,2,3,109,111
44,2,802,109,911
45,2,328,117,538
48,2,53,133,238
49,2,25,141,167
53,2,87,169,261
54,7,4,170,173
56,2,18,171,192
57,2,27,192,223
59,7,1,195,195
64,7,7,201,207
67,2,7,211,217
68,2,2,211,212
69,7,4,217,220
71,2,13,223,245
72,2,104,225,420
73,2,329,237,615
76,2,160,251,410
78,2,641,253,911
79,5,157,261,455
81,2,78,264,343
82,2,94,268,361
83,2,2,276,277
85,2,2,283,284
86,2,1,289,289
87,7,1,291,291
89,2,5,297,301
91,7,1,305,305
92,7,1,310,310
93,2,7,319,325
94,2,1,321,321
97,2,142,337,487
102,2,74,366,458
103,2,484,428,911
105,2,97,437,557
106,2,379,439,911
109,2,18,453,470
111,7,9,457,465
112,7,2,469,470
118,5,8,516,523
120,2,383,529,911
121,2,6,536,541
122,2,1,545,545
125,2,69,559,627
126,7,2,567,568
129,2,66,576,641
131,2,4,600,603
133,2,332,579,911
134,7,1,592,592
135,2,1,595,595
136,7,9,605,613
138,2,20,611,631
140,2,196,618,821
142,2,1,625,625
144,2,138,636,780
146,2,85,648,733
150,2,54,657,710
151,2,162,670,832
155,2,9,673,683
156,2,21,675,695
157,2,15,689,881
161,2,3,689,691
164,2,21,703,723
165,2,199,709,911
166,2,4,714,717
168,7,13,727,739
169,2,14,735,751
170,2,14,738,751
171,5,3,745,747
174,7,7,749,755
175,2,2,753,754
176,2,109,756,865
177,7,3,757,759
178,2,7,759,765
179,2,2,765,766
180,2,73,772,847
181,2,1,768,768
183,2,5,772,776
185,2,137,775,911
186,2,2,780,781
188,7,72,783,874
190,2,16,786,807
191,2,12,787,825
192,2,119,789,907
193,2,2,805,806
198,7,89,823,911
201,2,20,834,853
202,2,48,840,892
204,2,63,849,911
205,2,60,852,911
210,2,29,874,911
211,2,20,892,911
