track_id,class_id,track_length,first_frame,last_frame
1,2,676,0,675
2,2,784,0,783
3,2,68,0,67
5,2,899,0,911
6,2,685,0,755
7,2,24,0,29
8,2,325,0,420
9,2,396,0,535
10,5,391,0,455
13,2,100,0,337
14,2,36,0,53
15,2,244,3,272
18,2,14,9,45
19,5,3,13,15
20,2,33,13,45
21,7,18,26,45
22,2,267,59,337
27,2,5,67,73
28,2,10,69,80
31,5,6,83,88
35,2,240,87,361
40,2,84,103,189
41,2,3,109,111
42,2,802,109,911
43,2,332,117,538
46,2,52,133,238
49,7,4,170,173
51,7,18,171,192
52,2,673,192,911
53,7,1,195,195
58,7,7,201,207
61,2,7,211,217
62,2,2,211,212
63,7,4,217,220
65,2,23,223,245
66,2,336,237,615
68,2,641,253,911
70,2,80,264,343
71,2,2,276,277
73,2,2,283,284
74,7,1,291,291
76,2,5,297,301
77,7,1,305,305
78,7,1,310,310
79,7,10,319,342
82,2,142,337,487
84,2,31,426,470
86,2,74,366,458
88,2,109,437,574
89,2,383,439,911
92,7,9,457,465
93,7,2,469,470
99,2,9,516,529
101,2,383,529,911
102,2,6,536,541
103,2,1,545,545
106,2,124,559,710
107,7,2,567,568
109,2,66,576,641
111,2,19,600,881
113,2,332,579,911
114,7,1,592,592
115,2,1,595,595
116,7,9,605,613
117,2,160,611,780
119,7,290,618,911
121,2,1,625,625
125,2,86,648,733
129,2,162,670,832
133,2,9,673,683
134,2,21,675,695
137,2,3,689,691
140,2,21,703,723
141,2,198,709,911
142,2,4,714,717
144,7,13,727,739
145,2,14,735,751
146,2,14,738,751
147,5,3,745,747
150,7,7,749,755
151,2,2,753,754
152,2,109,756,865
153,7,3,757,759
154,2,7,759,765
155,2,2,765,766
156,2,75,772,847
157,2,1,768,768
159,2,5,772,776
161,2,137,775,911
162,2,2,780,781
164,7,72,783,874
166,2,16,786,807
167,7,13,787,832
168,2,119,789,907
169,2,2,805,806
176,2,20,834,853
177,2,48,840,892
178,2,63,849,911
179,2,60,852,911
184,2,31,874,911
185,2,20,892,911
