track_id,class_id,track_length,first_frame,last_frame
1,2,672,0,673
2,2,782,0,781
3,2,68,0,67
5,2,897,0,911
6,2,681,0,717
7,2,23,0,22
8,2,208,0,211
9,2,386,0,419
10,7,218,0,241
13,2,64,0,196
14,2,238,3,272
15,2,32,3,46
18,5,1,15,15
20,7,4,42,45
21,2,265,59,337
24,2,10,69,80
26,5,2,72,73
27,5,13,83,98
30,2,26,87,118
31,2,3,109,111
32,2,800,111,911
33,2,328,117,538
35,2,58,123,182
36,2,53,133,238
37,2,23,143,167
40,7,4,170,173
41,2,85,171,261
42,2,18,171,192
43,2,27,192,223
48,7,7,201,207
49,2,7,211,217
50,2,2,211,212
51,7,3,218,220
52,2,104,225,420
55,2,329,237,615
56,2,2,243,245
57,2,160,251,410
59,5,157,261,455
60,2,78,264,343
61,2,94,268,361
62,2,2,276,277
63,2,2,283,284
64,2,609,288,911
65,2,1,289,289
66,7,1,291,291
67,2,5,297,301
68,7,1,305,305
69,7,1,310,310
71,2,138,341,487
73,2,74,366,458
76,2,484,428,911
77,2,96,438,557
78,2,6,460,465
79,2,11,460,470
80,7,2,469,470
83,5,7,517,523
84,2,383,529,911
85,2,6,536,541
86,2,313,537,911
87,2,1,545,545
90,7,2,567,568
91,2,61,567,627
93,2,66,576,641
94,2,332,579,911
95,2,4,600,603
96,7,1,592,592
97,2,1,595,595
99,2,20,611,631
102,2,1,625,625
103,7,275,627,911
104,2,137,636,780
105,2,85,648,733
107,2,54,657,710
108,2,162,670,832
109,2,9,673,683
110,2,21,675,695
112,2,3,689,691
114,2,21,703,723
115,2,199,709,911
116,7,2,716,717
117,7,13,727,739
118,2,12,737,751
119,2,14,738,751
120,2,13,832,881
121,7,7,749,755
122,2,2,753,754
123,2,109,756,865
124,7,3,757,759
126,7,3,763,765
127,2,2,765,766
128,2,1,768,768
129,2,73,772,847
130,2,5,772,776
131,2,133,779,911
132,2,2,780,781
133,7,72,783,874
134,2,119,789,907
135,2,10,789,825
136,2,2,805,806
139,2,20,834,853
140,2,48,840,892
141,2,61,851,911
142,2,60,852,911
144,2,29,874,911
145,2,19,893,911
