track_id,class_id,track_length,first_frame,last_frame
1,2,672,0,673
2,2,782,0,781
3,2,68,0,67
5,2,897,0,911
6,2,682,0,717
7,2,23,0,22
8,2,208,0,211
9,2,386,0,419
10,7,223,0,241
13,2,64,0,196
14,2,239,3,272
15,2,34,3,46
18,5,1,15,15
20,7,4,42,45
21,2,265,59,337
24,2,10,69,80
26,5,2,72,73
27,5,13,83,98
30,2,28,87,118
31,2,3,109,111
32,2,801,111,911
33,2,328,117,538
35,2,60,123,182
36,2,56,133,238
37,2,23,143,167
40,7,4,170,173
41,2,85,171,261
42,2,18,171,192
43,2,27,192,223
47,7,7,201,207
48,2,7,211,217
49,2,2,211,212
50,7,3,218,220
51,2,109,225,420
54,2,330,237,615
55,2,2,243,245
56,2,160,251,410
58,5,164,261,455
59,2,78,264,343
60,2,94,268,361
61,2,2,276,277
62,2,2,283,284
63,2,609,288,911
64,2,1,289,289
65,7,1,291,291
66,2,5,297,301
67,7,1,305,305
68,7,1,310,310
70,2,151,341,680
71,2,74,366,458
73,2,484,428,911
74,2,97,438,557
75,2,6,460,465
76,2,11,460,470
77,7,2,469,470
80,5,7,517,523
81,2,383,529,911
82,2,6,536,541
83,2,326,537,911
84,2,1,545,545
87,7,2,567,568
88,2,61,567,627
90,2,66,576,641
91,2,332,579,911
92,2,19,600,881
93,7,1,592,592
94,2,1,595,595
96,2,20,611,631
98,2,1,625,625
99,7,276,627,911
100,2,137,636,780
101,2,85,648,733
103,2,54,657,710
104,2,162,670,832
105,2,9,673,683
106,2,21,675,695
108,2,3,689,691
110,2,21,703,723
111,2,199,709,911
112,7,2,716,717
113,7,13,727,739
114,2,12,737,751
115,2,14,738,751
116,7,7,749,755
117,2,2,753,754
118,2,109,756,865
119,7,3,757,759
121,7,3,763,765
122,2,2,765,766
123,2,1,768,768
124,2,73,772,847
125,2,5,772,776
126,2,133,779,911
127,2,2,780,781
128,7,77,783,874
129,2,119,789,907
130,2,10,789,825
131,2,2,805,806
134,2,20,834,853
135,2,49,840,893
136,2,61,851,911
137,2,60,852,911
139,2,29,874,911
140,2,19,893,911
