track_id,class_id,track_length,first_frame,last_frame
1,2,676,0,675
2,2,784,0,783
3,2,68,0,67
5,2,899,0,911
6,2,686,0,755
7,2,24,0,29
8,2,325,0,420
9,2,396,0,535
10,5,392,0,455
13,2,100,0,337
14,2,244,3,272
15,2,33,3,53
18,5,1,15,15
20,7,4,42,45
21,2,268,59,337
24,2,10,69,80
26,2,14,72,88
29,2,240,87,361
31,2,3,109,111
32,2,800,111,911
33,2,332,117,538
35,2,64,123,189
36,2,52,133,238
38,7,4,170,173
39,7,18,171,192
40,2,673,192,911
44,7,7,201,207
45,2,7,211,217
46,2,2,211,212
47,7,3,218,220
50,2,336,237,615
51,2,3,243,245
52,2,80,264,343
53,2,2,276,277
54,2,2,283,284
55,2,609,288,911
56,7,1,291,291
57,2,5,297,301
58,7,1,305,305
59,7,1,310,310
61,2,138,341,487
62,2,74,366,458
64,2,108,438,574
65,2,6,460,465
66,2,11,460,470
67,7,2,469,470
70,2,8,517,529
71,2,383,529,911
72,2,6,536,541
73,2,314,537,911
74,2,1,545,545
77,7,2,567,568
78,2,116,567,710
80,2,66,576,641
81,2,332,579,911
82,2,19,600,881
83,7,1,592,592
84,2,1,595,595
86,2,159,611,780
89,2,1,625,625
90,7,282,627,911
92,2,86,648,733
94,2,162,670,832
95,2,9,673,683
96,2,21,675,695
97,2,3,689,691
99,2,21,703,723
100,2,198,709,911
101,7,2,716,717
102,7,13,727,739
103,2,12,737,751
104,2,14,738,751
105,7,7,749,755
106,2,2,753,754
107,2,109,756,865
108,7,3,757,759
110,7,3,763,765
111,2,2,765,766
112,2,1,768,768
113,2,137,772,911
114,2,5,772,776
115,2,133,779,911
116,2,2,780,781
117,7,72,783,874
118,2,119,789,907
119,7,11,789,832
120,2,2,805,806
123,2,20,834,853
124,2,48,840,892
125,2,60,852,911
127,2,31,874,911
128,2,19,893,911
