track_id,class_id,track_length,first_frame,last_frame
1,2,676,0,675
2,2,784,0,783
3,2,68,0,67
5,2,904,0,911
6,2,698,0,757
7,2,27,0,32
8,2,338,0,440
9,2,398,0,540
10,5,418,0,460
13,2,122,0,351
14,2,45,0,53
15,2,246,3,272
18,2,19,9,45
19,5,3,13,15
20,2,33,13,45
21,7,21,26,46
22,2,271,59,340
27,2,7,67,73
28,2,10,69,80
31,5,6,83,88
35,2,31,87,123
40,2,86,103,189
41,2,3,109,111
42,2,803,109,911
43,2,335,117,543
46,2,85,133,317
47,2,211,141,361
50,7,4,170,173
52,7,18,171,192
53,2,31,192,226
54,7,1,195,195
59,7,7,201,207
62,2,7,211,217
63,2,2,211,212
64,7,4,217,220
66,2,23,223,245
67,2,344,237,617
69,2,645,251,911
70,2,645,253,911
72,2,80,264,343
73,2,2,276,277
75,2,2,283,284
76,7,1,291,291
78,2,5,297,301
79,7,1,305,305
80,7,1,310,310
81,2,10,319,342
84,2,145,337,487
88,2,78,366,461
90,2,115,437,574
91,2,414,439,911
94,2,18,453,470
96,7,9,457,465
97,7,2,469,470
102,2,15,516,540
104,2,383,529,911
105,2,6,536,541
106,2,1,545,545
109,2,124,559,710
110,7,2,567,568
112,2,66,576,641
114,2,22,600,881
116,2,333,579,911
117,7,1,592,592
118,2,1,595,595
119,7,9,605,613
120,2,166,611,780
122,7,291,618,911
124,2,1,625,625
128,2,86,648,733
132,2,162,670,832
136,2,9,673,683
137,2,21,675,695
140,2,3,689,691
143,2,34,703,739
144,2,198,709,911
145,2,4,714,717
147,2,14,735,751
148,2,14,738,751
149,5,3,745,747
152,7,7,749,755
153,2,2,753,754
154,2,110,756,865
155,7,3,757,759
156,2,7,759,765
157,2,2,765,766
158,2,76,772,848
159,2,1,768,768
161,2,5,772,776
163,2,137,775,911
164,2,2,780,781
166,7,81,783,875
168,2,18,786,811
169,7,13,787,832
170,2,119,789,907
171,2,2,805,806
178,2,20,834,853
179,2,54,840,904
180,2,63,849,911
181,2,60,852,911
186,2,36,874,911
187,2,20,892,911
